,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Anfernee Simons,POR,22,15,7,8,22.5,109.1,105.6,3.5,14.2,2.07,15.4,2.5,8,5.2,7.5,56,57.6,21.5,98.95,9.8,695
1,Anthony Davis,LAL,28,15,8,7,34.5,103.9,110,-6.1,14.7,1.19,10.8,9.6,20.2,14.8,9.1,52.1,56.6,28.1,103.4,16.5,"1,114"
1,CJ McCollum,POR,30,15,7,8,34.9,110.5,110.3,0.2,20,2.06,16.4,2.7,8.8,5.7,7.9,52.5,54,26.7,99.61,10.6,"1,084"
1,Cam Reddish,ATL,22,15,6,9,22.5,99,106.1,-7.1,6.8,0.64,7.2,3.5,8.3,5.8,11.3,46.9,52.6,21.9,102.09,7.8,715
1,Carmelo Anthony,LAL,37,15,8,7,28.8,107.2,109.9,-2.7,4.9,1.17,6.5,1.7,11.2,6.7,5.6,59,61.1,19.5,102.98,9.9,931
1,Clint Capela,ATL,27,15,6,9,29.4,113.3,117.3,-3.9,5.1,1.89,9.9,12.5,26.8,19.5,5.2,55.9,56.7,14.9,98.98,11.7,907
1,Cody Martin,CHA,26,15,8,7,24,108.4,113.6,-5.2,10,3.5,19.6,5.1,12.6,8.7,5.6,52.2,56.5,12.9,105.14,8.7,787
1,Cody Zeller,POR,29,15,7,8,13.9,107.8,112.7,-4.9,8.8,1.08,14.4,13.3,18.8,15.9,13.3,63.8,68.7,15,101.64,10.4,437
1,Dalano Banton,TOR,22,15,7,8,12.6,109.9,109,0.9,14.8,1.33,20,3.9,14.4,8.8,15,56.1,58.5,17.1,98.89,9.4,393
1,Devonte' Graham,NOP,26,15,2,13,32.2,111.9,112.6,-0.7,23.6,2.44,23.8,2.1,6.5,4.2,9.8,49.5,52.9,21.5,99.17,9.1,998
1,Domantas Sabonis,IND,25,15,6,9,36,107.3,106.6,0.7,16.6,1.29,18,8.4,22.6,15.6,13.9,61.2,63,20.9,98.87,14.7,"1,115"
1,Evan Mobley,CLE,20,15,9,6,33.8,103.1,99.6,3.5,12,1.37,14.2,5.1,16.7,11.2,10.3,51.7,55.5,19.1,98.84,12.4,"1,042"
1,Gary Trent Jr.,TOR,22,15,7,8,34.6,110.8,109.6,1.2,7,1.41,9,1.4,8.7,4.8,6.4,50.9,53.4,19.7,97.55,8.6,"1,054"
1,Georges Niang,PHI,28,15,8,7,23.6,113.5,106.7,6.8,10.1,2.4,13.2,1.4,8.4,4.9,5.5,55.8,58.9,19.6,98.54,8.3,719
