,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Kevin Durant,BKN,33,15,10,5,34.5,28.9,10.7,18.8,56.7,2,4.8,41.7,5.6,6.7,84,0.5,7.7,8.1,5,3.1,0.5,0.5,1.2,46.3,6,1,3.7
2,Stephen Curry,GSW,33,14,12,2,33.5,28.7,9.2,20.3,45.4,5.4,13.4,40.6,4.9,5.1,95.8,0.7,5.6,6.3,6.6,3.2,1.7,0.7,1.7,50.2,5,1,13.9
3,Paul George,LAC,31,14,9,5,35,27,9.8,21.9,44.6,3,8.6,34.7,4.4,4.9,89.9,0.6,7.6,8.2,5.1,4.4,2.2,0.4,2.6,48,5,0,4
4,DeMar DeRozan,CHI,32,14,10,4,35.3,26.9,9.6,18.8,51,0.9,2.5,37.1,6.9,7.9,87.3,0.8,4.6,5.4,4.1,1.9,0.9,0.4,2.3,41.6,1,0,8.5
5,Giannis Antetokounmpo,MIL,26,13,6,7,32.9,26.5,9.5,19.3,49,1.3,4.7,27.9,6.3,9.3,67.8,1.8,9.5,11.3,6,3,1.1,1.7,3.2,54.4,8,0,5
6,Nikola Jokic,DEN,26,13,8,5,32.2,26.1,10.3,17.4,59.3,1.7,4.4,38.6,3.8,5.1,74.2,2.8,11,13.8,6.3,3.4,1.3,0.9,2.9,55.5,10,2,9.6
7,Zach LaVine,CHI,26,14,10,4,35.1,25.9,9.4,19.4,48.7,2.6,7,37.8,4.4,5,88.6,0.5,5.1,5.6,3.8,2.9,0.5,0.3,1.6,37.9,0,0,3.7
8,Ja Morant,MEM,22,14,7,7,34.4,25.9,9.8,19.9,49.3,1.9,4.9,38.2,4.4,5.7,77.5,1.3,5.1,6.4,7.3,3.6,1.6,0.3,1.4,46.6,4,0,-2.7
9,Jaylen Brown,BOS,25,8,3,5,36.5,25.6,9.4,19,49.3,2.9,7.3,39.7,4,5.1,78,0.4,5.8,6.1,2.5,2.9,1.3,0.5,3.1,39.1,0,0,5.8
10,Trae Young,ATL,23,15,6,9,34.1,25.5,9.1,20.3,45.1,2.6,6.7,39,4.7,5.3,88.6,0.6,3.1,3.7,9.1,3.9,0.9,0.1,1.8,42.7,6,0,-0.4
