,PLAYER,2012/13(*),
1,Kobe Bryant,"$27,849,000 ","$31,285,738 "
2,Brandon Roy,"$21,459,805 ","$24,108,076 "
3,Dirk Nowitzki,"$20,907,128 ","$23,487,196 "
4,Gilbert Arenas,"$20,807,922 ","$23,375,747 "
5,Amare Stoudemire,"$19,948,799 ","$22,410,603 "
6,Joe Johnson,"$19,752,645 ","$22,190,243 "
7,Carmelo Anthony,"$19,450,000 ","$21,850,249 "
8,Dwight Howard,"$19,261,200 ","$21,638,150 "
9,Pau Gasol,"$19,000,000 ","$21,344,717 "
10,Elton Brand,"$18,160,354 ","$20,401,452 "
11,Chris Paul,"$17,779,457 ","$19,973,551 "
12,Kevin Durant,"$17,548,838 ","$19,714,472 "
13,Chris Bosh,"$17,545,000 ","$19,710,161 "
13,LeBron James,"$17,545,000 ","$19,710,161 "
15,Deron Williams,"$17,177,795 ","$19,297,640 "
16,Dwyane Wade,"$17,024,000 ","$19,124,866 "
17,Paul Pierce,"$16,790,345 ","$18,862,377 "
18,Zach Randolph,"$16,500,000 ","$18,536,201 "
19,Andrew Bynum,"$16,473,002 ","$18,505,872 "
20,Rudy Gay,"$16,460,532 ","$18,491,863 "
21,Derrick Rose,"$16,402,500 ","$18,426,669 "
22,Rashard Lewis,"$15,052,181 ","$16,909,712 "
23,Al Jefferson,"$15,000,000 ","$16,851,092 "
23,Carlos Boozer,"$15,000,000 ","$16,851,092 "
25,Baron Davis,"$14,850,000 ","$16,682,581 "
26,Andre Iguodala,"$14,718,250 ","$16,534,572 "
27,Manu Ginobili,"$14,107,492 ","$15,848,443 "
28,Marc Gasol,"$13,891,359 ","$15,605,638 "
29,Russell Westbrook,"$13,668,750 ","$15,355,558 "
29,Eric Gordon,"$13,668,750 ","$15,355,558 "
29,Kevin Love,"$13,668,750 ","$15,355,558 "
29,Roy Hibbert,"$13,668,750 ","$15,355,558 "
33,Brook Lopez,"$13,668,000 ","$15,354,715 "
34,Tyson Chandler,"$13,604,188 ","$15,283,028 "
35,Emeka Okafor,"$13,543,250 ","$15,214,570 "
36,Luol Deng,"$13,326,700 ","$14,971,296 "
37,Josh Smith,"$13,200,000 ","$14,828,961 "
38,Andrew Bogut,"$13,150,000 ","$14,772,791 "
39,Danny Granger,"$13,058,606 ","$14,670,118 "
40,Nenê,"$13,000,000 ","$14,604,280 "
40,LaMarcus Aldridge,"$13,000,000 ","$14,604,280 "
42,Kevin Martin,"$12,939,675 ","$14,536,510 "
43,David Lee,"$12,744,000 ","$14,316,688 "
44,Tony Parker,"$12,500,000 ","$14,042,577 "
45,Kevin Garnett,"$12,467,532 ","$14,006,102 "
46,Ben Gordon,"$12,400,000 ","$13,930,236 "
47,Kris Humphries,"$12,000,000 ","$13,480,873 "
47,Al Horford,"$12,000,000 ","$13,480,873 "
49,Nicolas Batum,"$11,950,000 ","$13,424,703 "
50,Hidayet Turkoglu,"$11,815,850 ","$13,273,998 "
51,Joakim Noah,"$11,050,000 ","$12,413,638 "
52,Jose Calderon,"$11,046,591 ","$12,409,808 "
53,Monta Ellis,"$11,000,000 ","$12,357,467 "
53,Rajon Rondo,"$11,000,000 ","$12,357,467 "
55,Corey Maggette,"$10,924,138 ","$12,272,243 "
56,DeAndre Jordan,"$10,532,977 ","$11,832,811 "
57,Richard Hamilton,"$10,500,000 ","$11,795,763 "
58,Richard Jefferson,"$10,164,000 ","$11,418,300 "
59,Stephen Jackson,"$10,060,000 ","$11,301,466 "
60,Andrea Bargnani,"$10,000,000 ","$11,234,061 "
60,David West,"$10,000,000 ","$11,234,061 "
60,JaVale McGee,"$10,000,000 ","$11,234,061 "
63,Andrei Kirilenko,"$9,779,349 ","$10,986,180 "
64,Gerald Wallace,"$9,682,435 ","$10,877,307 "
65,Tim Duncan,"$9,638,554 ","$10,828,010 "
66,Danilo Gallinari,"$9,439,000 ","$10,603,830 "
67,Andris Biedrins,"$9,000,000 ","$10,110,655 "
68,Steve Nash,"$8,900,000 ","$9,998,314 "
69,Ryan Anderson,"$8,700,000 ","$9,773,633 "
70,Shawn Marion,"$8,646,364 ","$9,713,378 "
71,Jameer Nelson,"$8,600,000 ","$9,661,293 "
72,Maurice Williams,"$8,500,000 ","$9,548,952 "
72,Rodney Stuckey,"$8,500,000 ","$9,548,952 "
72,Devin Harris,"$8,500,000 ","$9,548,952 "
75,Anderson Varejao,"$8,400,000 ","$9,436,611 "
76,Brendan Haywood,"$8,349,000 ","$9,379,317 "
77,Marvin Williams,"$8,287,500 ","$9,310,228 "
78,Lamar Odom,"$8,200,000 ","$9,211,930 "
79,Jeff Green,"$8,100,000 ","$9,099,589 "
80,John Salmons,"$8,080,000 ","$9,077,121 "
81,Charlie Villanueva,"$8,060,000 ","$9,054,653 "
82,Thaddeus Young,"$8,039,130 ","$9,031,208 "
83,Caron Butler,"$8,000,000 ","$8,987,249 "
83,George Hill,"$8,000,000 ","$8,987,249 "
83,Chris Kaman,"$8,000,000 ","$8,987,249 "
83,Tyrus Thomas,"$8,000,000 ","$8,987,249 "
87,Andray Blatche,"$7,972,891 ","$8,956,794 "
88,Ersan Ilyasova,"$7,900,000 ","$8,874,908 "
89,Beno Udrih,"$7,810,000 ","$8,773,802 "
90,Kendrick Perkins,"$7,800,531 ","$8,763,164 "
91,Marcus Thornton,"$7,632,500 ","$8,574,397 "
92,Arron Afflalo,"$7,562,500 ","$8,495,759 "
93,Goran Dragic,"$7,500,000 ","$8,425,546 "
94,DeSagana Diop,"$7,372,200 ","$8,281,974 "
95,Trevor Ariza,"$7,258,960 ","$8,154,760 "
95,Marcin Gortat,"$7,258,960 ","$8,154,760 "
95,Metta World Peace,"$7,258,960 ","$8,154,760 "
98,Blake Griffin,"$7,226,891 ","$8,118,733 "
99,Paul Millsap,"$7,200,000 ","$8,088,524 "
100,Mike Conley,"$7,180,000 ","$8,066,056 "
101,Travis Outlaw,"$7,000,000 ","$7,863,842 "
102,Josh Childress,"$6,890,056 ","$7,740,331 "
103,Tayshaun Prince,"$6,764,045 ","$7,598,769 "
104,Samuel Dalembert,"$6,700,000 ","$7,526,821 "
105,Al Harrington,"$6,687,400 ","$7,512,666 "
106,Drew Gooden,"$6,680,000 ","$7,504,353 "
107,Wesley Matthews,"$6,505,320 ","$7,308,116 "
108,Spencer Hawes,"$6,500,000 ","$7,302,140 "
108,Brandon Bass,"$6,500,000 ","$7,302,140 "
110,Darko Milicic,"$6,457,255 ","$7,254,119 "
111,Glen Davis,"$6,400,000 ","$7,189,799 "
112,Francisco Garcia,"$6,100,000 ","$6,852,777 "
113,Luke Walton,"$6,091,363 ","$6,843,074 "
114,Amir Johnson,"$6,000,000 ","$6,740,436 "
114,Channing Frye,"$6,000,000 ","$6,740,436 "
114,Nick Young,"$6,000,000 ","$6,740,436 "
114,JJ Redick,"$6,000,000 ","$6,740,436 "
118,Wilson Chandler,"$5,930,415 ","$6,662,264 "
119,John Wall,"$5,915,880 ","$6,645,936 "
120,James Harden,"$5,820,416 ","$6,538,691 "
121,Mike Miller,"$5,800,000 ","$6,515,755 "
122,Jason Richardson,"$5,799,625 ","$6,515,334 "
123,Kyle Lowry,"$5,750,000 ","$6,459,585 "
123,Michael Beasley,"$5,750,000 ","$6,459,585 "
123,Aaron Brooks,"$5,750,000 ","$6,459,585 "
126,Jarrett Jack,"$5,580,000 ","$6,268,606 "
127,Kyrie Irving,"$5,530,080 ","$6,212,525 "
128,Chuck Hayes,"$5,486,250 ","$6,163,287 "
129,Evan Turner,"$5,293,080 ","$5,946,278 "
130,Tyreke Evans,"$5,251,824 ","$5,899,931 "
131,Jason Thompson,"$5,250,000 ","$5,897,882 "
132,Zaza Pachulia,"$5,248,750 ","$5,896,478 "
133,Chris Andersen,"$5,225,952 ","$5,870,866 "
134,Anthony Davis,"$5,144,280 ","$5,779,115 "
135,Landry Fields,"$5,000,000 ","$5,617,030 "
135,Jamal Crawford,"$5,000,000 ","$5,617,030 "
135,Jeremy Lin,"$5,000,000 ","$5,617,030 "
135,Omer Asik,"$5,000,000 ","$5,617,030 "
135,Jason Maxiell,"$5,000,000 ","$5,617,030 "
135,Andre Miller,"$5,000,000 ","$5,617,030 "
135,Ramon Sessions,"$5,000,000 ","$5,617,030 "
135,Courtney Lee,"$5,000,000 ","$5,617,030 "
135,Jason Terry,"$5,000,000 ","$5,617,030 "
135,Kyle Korver,"$5,000,000 ","$5,617,030 "
135,Louis Williams,"$5,000,000 ","$5,617,030 "
146,Derrick Williams,"$4,947,840 ","$5,558,433 "
147,Robin Lopez,"$4,899,293 ","$5,503,895 "
148,Luc Mbah a Moute,"$4,794,192 ","$5,385,824 "
149,Daniel Gibson,"$4,792,332 ","$5,383,735 "
150,Derrick Favors,"$4,753,320 ","$5,339,908 "
151,Nikola Pekovic,"$4,640,000 ","$5,212,604 "
152,Michael Kidd-Gilchrist,"$4,602,720 ","$5,170,724 "
153,Linas Kleiza,"$4,600,000 ","$5,167,668 "
154,Marcus Camby,"$4,590,338 ","$5,156,814 "
155,Boris Diaw,"$4,500,000 ","$5,055,327 "
155,Luis Scola,"$4,500,000 ","$5,055,327 "
155,Jonas Jerebko,"$4,500,000 ","$5,055,327 "
158,Jose Juan Barea,"$4,493,000 ","$5,047,463 "
159,Enes Kanter,"$4,443,360 ","$4,991,698 "
160,Wesley Johnson,"$4,285,560 ","$4,814,424 "
161,Jared Dudley,"$4,250,000 ","$4,774,476 "
162,Marreese Speights,"$4,200,000 ","$4,718,305 "
163,Bradley Beal,"$4,133,280 ","$4,643,352 "
164,Dorell Wright,"$4,106,000 ","$4,612,705 "
165,Udonis Haslem,"$4,060,000 ","$4,561,029 "
166,Steve Novak,"$4,054,055 ","$4,554,350 "
167,OJ Mayo,"$4,020,000 ","$4,516,092 "
168,Tristan Thompson,"$4,006,080 ","$4,500,454 "
169,JJ Hickson,"$4,000,000 ","$4,493,624 "
169,Hakim Warrick,"$4,000,000 ","$4,493,624 "
169,Raymond Felton,"$4,000,000 ","$4,493,624 "
169,Luke Ridnour,"$4,000,000 ","$4,493,624 "
169,Mario Chalmers,"$4,000,000 ","$4,493,624 "
169,Steve Blake,"$4,000,000 ","$4,493,624 "
169,Ryan Gomes,"$4,000,000 ","$4,493,624 "
169,Ian Mahinmi,"$4,000,000 ","$4,493,624 "
169,Brandon Rush,"$4,000,000 ","$4,493,624 "
169,Carl Landry,"$4,000,000 ","$4,493,624 "
169,Anthony Morrow,"$4,000,000 ","$4,493,624 "
180,Stephen Curry,"$3,958,742 ","$4,447,275 "
181,Tiago Splitter,"$3,944,000 ","$4,430,713 "
182,Kirk Hinrich,"$3,941,000 ","$4,427,343 "
183,DeMarcus Cousins,"$3,880,800 ","$4,359,714 "
184,Mike Dunleavy,"$3,750,000 ","$4,212,773 "
184,Joel Anthony,"$3,750,000 ","$4,212,773 "
186,Ricky Rubio,"$3,741,120 ","$4,202,797 "
187,Dion Waiters,"$3,726,600 ","$4,186,485 "
188,Chris Duhon,"$3,680,000 ","$4,134,134 "
189,Matt Bonner,"$3,630,000 ","$4,077,964 "
190,Daequan Cook,"$3,602,675 ","$4,047,267 "
191,Thabo Sefolosha,"$3,600,000 ","$4,044,262 "
192,Ekpe Udoh,"$3,524,880 ","$3,959,871 "
193,Danny Green,"$3,500,000 ","$3,931,921 "
193,Shannon Brown,"$3,500,000 ","$3,931,921 "
193,Matt Carroll,"$3,500,000 ","$3,931,921 "
193,Jordan Hill,"$3,500,000 ","$3,931,921 "
193,Gerald Green,"$3,500,000 ","$3,931,921 "
193,DJ Augustin,"$3,500,000 ","$3,931,921 "
193,Will Bynum,"$3,500,000 ","$3,931,921 "
193,Alonzo Gee,"$3,500,000 ","$3,931,921 "
193,Johan Petro,"$3,500,000 ","$3,931,921 "
202,Raja Bell,"$3,480,000 ","$3,909,453 "
203,Jonas Valanciunas,"$3,374,640 ","$3,791,091 "
203,Thomas Robinson,"$3,374,640 ","$3,791,091 "
205,DeMar DeRozan,"$3,344,250 ","$3,756,951 "
206,Tony Allen,"$3,300,000 ","$3,707,240 "
207,Jan Vesely,"$3,294,960 ","$3,701,578 "
208,Corey Brewer,"$3,243,000 ","$3,643,206 "
209,Greg Monroe,"$3,217,680 ","$3,614,761 "
210,Brandon Jennings,"$3,179,493 ","$3,571,862 "
211,Shawne Williams,"$3,158,000 ","$3,547,716 "
212,Shane Battier,"$3,135,000 ","$3,521,878 "
212,Josh McRoberts,"$3,135,000 ","$3,521,878 "
214,Vince Carter,"$3,120,000 ","$3,505,027 "
215,Gerald Henderson,"$3,101,326 ","$3,484,048 "
216,Jerryd Bayless,"$3,100,000 ","$3,482,559 "
217,Jason Kidd,"$3,090,000 ","$3,471,325 "
217,Ray Allen,"$3,090,000 ","$3,471,325 "
217,Mirza Teletovic,"$3,090,000 ","$3,471,325 "
220,Damian Lillard,"$3,065,040 ","$3,443,284 "
221,Tyler Hansbrough,"$3,055,259 ","$3,432,296 "
222,Alexey Shved,"$3,017,943 ","$3,390,375 "
223,Bismack Biyombo,"$3,007,920 ","$3,379,115 "
224,Darrell Arthur,"$3,006,217 ","$3,377,202 "
225,Kwame Brown,"$3,000,000 ","$3,370,218 "
225,Lavoy Allen,"$3,000,000 ","$3,370,218 "
225,Chauncey Billups,"$3,000,000 ","$3,370,218 "
225,Carlos Delfino,"$3,000,000 ","$3,370,218 "
225,Kosta Koufos,"$3,000,000 ","$3,370,218 "
230,Austin Daye,"$2,958,444 ","$3,323,534 "
231,Al-Farouq Aminu,"$2,947,800 ","$3,311,576 "
232,Nick Collison,"$2,929,332 ","$3,290,829 "
233,Joel Freeland,"$2,900,000 ","$3,257,877 "
233,Dahntay Jones,"$2,900,000 ","$3,257,877 "
235,James Johnson,"$2,812,006 ","$3,159,024 "
236,JR Smith,"$2,806,452 ","$3,152,785 "
237,Harrison Barnes,"$2,798,040 ","$3,143,335 "
238,Timofey Mozgov,"$2,794,621 ","$3,139,494 "
239,Brandon Knight,"$2,755,560 ","$3,095,613 "
240,Gordon Hayward,"$2,709,720 ","$3,044,116 "
241,Quentin Richardson,"$2,706,940 ","$3,040,992 "
242,Jrue Holiday,"$2,674,851 ","$3,004,944 "
243,Greg Stiemsma,"$2,575,000 ","$2,892,770 "
244,Paul George,"$2,574,120 ","$2,891,782 "
245,Terrence Ross,"$2,563,320 ","$2,879,649 "
246,Ty Lawson,"$2,544,528 ","$2,858,538 "
247,Kemba Walker,"$2,532,960 ","$2,845,542 "
248,Randy Foye,"$2,500,000 ","$2,808,515 "
248,Jason Smith,"$2,500,000 ","$2,808,515 "
248,Reggie Williams,"$2,500,000 ","$2,808,515 "
251,Cole Aldrich,"$2,445,480 ","$2,747,267 "
252,Jeff Teague,"$2,433,076 ","$2,733,332 "
253,Jimmer Fredette,"$2,406,240 ","$2,703,184 "
254,Andre Drummond,"$2,356,320 ","$2,647,104 "
255,Eric Maynor,"$2,338,720 ","$2,627,332 "
256,Xavier Henry,"$2,323,200 ","$2,609,897 "
257,Darren Collison,"$2,319,344 ","$2,605,565 "
258,Omri Casspi,"$2,277,306 ","$2,558,339 "
259,Serge Ibaka,"$2,253,061 ","$2,531,102 "
259,BJ Mullens,"$2,253,061 ","$2,531,102 "
261,DeShawn Stevenson,"$2,240,450 ","$2,516,935 "
262,Austin Rivers,"$2,238,360 ","$2,514,587 "
263,Rodrigue Beaubois,"$2,227,332 ","$2,502,198 "
264,CJ Miles,"$2,225,000 ","$2,499,578 "
265,Klay Thompson,"$2,222,160 ","$2,496,388 "
266,Ed Davis,"$2,207,040 ","$2,479,402 "
267,Martell Webster,"$2,200,000 ","$2,471,492 "
268,Alec Burks,"$2,171,640 ","$2,439,633 "
269,Taj Gibson,"$2,155,811 ","$2,421,851 "
270,Meyers Leonard,"$2,126,520 ","$2,388,945 "
271,Patrick Patterson,"$2,096,760 ","$2,355,513 "
272,Dante Cunningham,"$2,090,000 ","$2,347,918 "
273,Wayne Ellington,"$2,083,042 ","$2,340,102 "
274,Toney Douglas,"$2,067,880 ","$2,323,069 "
275,Markieff Morris,"$2,063,040 ","$2,317,631 "
276,Shaun Livingston,"$2,038,446 ","$2,290,002 "
277,Jeremy Lamb,"$2,020,200 ","$2,269,505 "
278,Earl Watson,"$2,000,000 ","$2,246,812 "
279,Larry Sanders,"$1,991,760 ","$2,237,555 "
280,Marcus Morris,"$1,959,960 ","$2,201,831 "
281,Grant Hill,"$1,957,000 ","$2,198,505 "
281,Marco Belinelli,"$1,957,000 ","$2,198,505 "
283,Kendall Marshall,"$1,919,160 ","$2,155,996 "
284,Luke Babbitt,"$1,892,280 ","$2,125,799 "
285,Kawhi Leonard,"$1,861,920 ","$2,091,692 "
286,John Henson,"$1,823,280 ","$2,048,283 "
287,Kevin Seraphin,"$1,797,600 ","$2,019,434 "
288,Jeremy Evans,"$1,795,000 ","$2,016,514 "
289,Nikola Vucevic,"$1,768,800 ","$1,987,080 "
290,Moe Harkless,"$1,731,960 ","$1,945,694 "
291,Eric Bledsoe,"$1,707,720 ","$1,918,463 "
292,Iman Shumpert,"$1,680,360 ","$1,887,726 "
293,Renaldo Balkman,"$1,675,000 ","$1,881,705 "
294,Anthony Randolph,"$1,674,641 ","$1,881,302 "
295,Royce White,"$1,645,440 ","$1,848,497 "
296,Avery Bradley,"$1,630,800 ","$1,832,050 "
297,Reggie Evans,"$1,622,618 ","$1,822,859 "
298,Chris Singleton,"$1,596,360 ","$1,793,360 "
299,Sebastian Telfair,"$1,567,500 ","$1,760,939 "
300,Tyler Zeller,"$1,563,120 ","$1,756,018 "
301,Tobias Harris,"$1,524,480 ","$1,712,610 "
302,Derek Fisher,"$1,519,214 ","$1,706,694 "
303,John Lucas,"$1,500,000 ","$1,685,109 "
303,Gustavo Ayon,"$1,500,000 ","$1,685,109 "
303,Gary Forbes,"$1,500,000 ","$1,685,109 "
303,Vyacheslav Kravtsov,"$1,500,000 ","$1,685,109 "
303,Jordan Farmar,"$1,500,000 ","$1,685,109 "
308,Terrence Jones,"$1,485,000 ","$1,668,258 "
309,Jared Jeffries,"$1,475,106 ","$1,657,143 "
310,Keyon Dooling,"$1,471,491 ","$1,653,081 "
311,Elliot Williams,"$1,442,880 ","$1,620,940 "
312,Andrew Nicholson,"$1,418,160 ","$1,593,169 "
313,Nolan Smith,"$1,404,960 ","$1,578,340 "
314,Nando De Colo,"$1,400,000 ","$1,572,768 "
314,Jodie Meeks,"$1,400,000 ","$1,572,768 "
316,Trevor Booker,"$1,385,280 ","$1,556,232 "
317,Willie Green,"$1,375,000 ","$1,544,683 "
318,Louis Amundson,"$1,365,196 ","$1,533,668 "
319,Donatas Motiejunas,"$1,361,400 ","$1,529,405 "
319,Evan Fournier,"$1,361,400 ","$1,529,405 "
321,Jason Collins,"$1,352,181 ","$1,519,048 "
321,Jamaal Tinsley,"$1,352,181 ","$1,519,048 "
321,Jermaine O'Neal,"$1,352,181 ","$1,519,048 "
321,Kurt Thomas,"$1,352,181 ","$1,519,048 "
321,Rasheed Wallace,"$1,352,181 ","$1,519,048 "
321,Joel Przybilla,"$1,352,181 ","$1,519,048 "
321,Antawn Jamison,"$1,352,181 ","$1,519,048 "
321,Vladimir Radmanovic,"$1,352,181 ","$1,519,048 "
321,Nazr Mohammed,"$1,352,181 ","$1,519,048 "
321,Jerry Stackhouse,"$1,352,181 ","$1,519,048 "
321,Chris Wilcox,"$1,352,181 ","$1,519,048 "
332,Kenneth Faried,"$1,348,800 ","$1,515,250 "
333,Jeremy Pargo,"$1,313,845 ","$1,475,981 "
334,Jared Sullinger,"$1,306,920 ","$1,468,201 "
335,Hamed Haddadi,"$1,300,000 ","$1,460,428 "
336,Dominique Jones,"$1,276,560 ","$1,434,095 "
337,Victor Claver,"$1,254,720 ","$1,409,560 "
