PLAYER,SALARY,SEASON,TEAM,AGE,GP,W,L,PTS,3PM,REB,AST,TOV,STL,BLK,+/-,OFFRTG,DEFRTG,NETRTG,SALARY_CAP
Kobe Bryant,25244493.0,2010,LAL,32.0,82.0,57.0,25.0,25.3,1.4,5.1,4.7,3.0,1.2,0.1,5.2,111.5,104.2,7.3,58044000
Vince Carter,21300000.0,2010,PHX,34.0,73.0,38.0,35.0,14.0,1.6,3.8,2.0,1.2,0.9,0.3,1.7,108.0,104.6,3.4,58044000
Kevin Garnett,21247044.0,2010,BOS,35.0,71.0,49.0,22.0,14.9,0.0,8.9,2.4,1.6,1.3,0.8,7.8,109.2,96.4,12.9,58044000
Tim Duncan,21164619.0,2010,SAS,35.0,76.0,60.0,16.0,13.4,0.0,8.9,2.7,1.6,0.7,1.9,6.0,110.3,100.3,10.0,58044000
Rashard Lewis,21136631.0,2010,WAS,31.0,57.0,24.0,33.0,11.7,1.5,5.1,1.6,1.5,0.9,0.5,-1.2,102.6,104.3,-1.6,58044000
Gilbert Arenas,19269307.0,2010,ORL,29.0,70.0,35.0,35.0,10.8,1.4,2.7,3.9,2.5,1.1,0.3,-0.2,103.4,104.1,-0.7,58044000
Dirk Nowitzki,19092873.0,2010,DAL,33.0,73.0,55.0,18.0,23.0,0.9,7.0,2.6,1.9,0.5,0.6,7.3,110.7,100.4,10.3,58044000
Pau Gasol,18714150.0,2010,LAL,30.0,82.0,57.0,25.0,18.8,0.0,10.2,3.3,1.7,0.6,1.6,6.5,110.8,102.1,8.6,58044000
Carmelo Anthony,18518574.0,2010,NYK,27.0,77.0,43.0,34.0,25.6,1.2,7.3,2.9,2.7,0.9,0.6,2.4,112.2,108.4,3.8,58044000
Dwight Howard,18091770.0,2010,ORL,25.0,78.0,51.0,27.0,22.9,0.0,14.1,1.4,3.6,1.4,2.4,6.4,109.0,100.6,8.4,58044000
Joe Johnson,18038573.0,2010,ATL,30.0,72.0,38.0,34.0,18.2,1.2,4.0,4.7,2.0,0.7,0.1,1.2,107.0,105.5,1.6,58044000
Richard Hamilton,17500000.0,2010,DET,33.0,55.0,19.0,36.0,14.1,1.0,2.3,3.1,1.6,0.7,0.1,-2.6,105.4,110.3,-4.9,58044000
Elton Brand,17059727.0,2010,PHI,32.0,81.0,41.0,40.0,15.0,0.0,8.3,1.5,1.2,1.1,1.3,1.7,105.8,103.3,2.5,58044000
